,cursor,name_with_owner,name,url,stargazer_count,pr_count
0,Y3Vyc29yOjM5,kubernetes/kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,75935,61675
0,Y3Vyc29yOjQ4,tensorflow/models,models,https://github.com/tensorflow/models,69362,3276
0,Y3Vyc29yOjU5,moby/moby,moby,https://github.com/moby/moby,59957,21065
0,Y3Vyc29yOjY0,django/django,django,https://github.com/django/django,56603,14029
0,Y3Vyc29yOjY5,apple/swift,swift,https://github.com/apple/swift,55637,36294
0,Y3Vyc29yOjc1,elastic/elasticsearch,elasticsearch,https://github.com/elastic/elasticsearch,54365,44129
0,Y3Vyc29yOjc2,rust-lang/rust,rust,https://github.com/rust-lang/rust,53639,44790
0,Y3Vyc29yOjc3,opencv/opencv,opencv,https://github.com/opencv/opencv,53476,11852
0,Y3Vyc29yOjg3,bitcoin/bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,51698,14651
0,Y3Vyc29yOjk2,gatsbyjs/gatsby,gatsby,https://github.com/gatsbyjs/gatsby,49709,17248
0,Y3Vyc29yOjEwNg==,rails/rails,rails,https://github.com/rails/rails,48120,26747
